objectid,station,region,geolocation,location,shortname,notes,y_2018_oct,y_2018_nov,y_2018_dec,y_2019_jan,y_2019_feb,y_2019_mar,y_2019_apr,y_2019_may,y_2019_jun,y_2019_jul,y_2019_aug,y_2019_sep,y_month_max,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_max_year,active
1,90902,Sydney City,-33.858959 151.206218,"Sydney Harbour Bridge bicycle path, near Upper Fort Street, The Rocks (Cyc)",Sydney Harbour Bridge,None,1744,1974,1549,1807,2095,1880,1780,1958,1348,1618,1572,1581,2500,685,1065,1351,1366,1596,1807,1932,1853,1671,1729,1707,1663,1464,2000,Y
2,90903,Sydney City,-33.867926 151.181554,"Anzac Bridge cycleway, near Quarry Master Drive, Pyrmont (Cyc)",Anzac Bridge,Counter inoperable from Feb 2015 to Oct 2015.,1249,1433,1122,1299,1571,1460,1341,1447,1083,1239,1219,1217,2000,0,908,1109,1110,1218,1414,1457,1376,1111,1236,1223,1208,1090,1500,Y
3,90907,Sydney City,-33.89582 151.221849,"Anzac Parade cycleway, near Lang Road, Moore Park",Anzac Parade,Counter inoperable December 2013 to June 2015.,812,895,927,0,0,0,0,0,0,0,0,647,1500,273,463,762,772,793,943,1029,1145,983,979,929,831,571,1100,N
4,100005,Metro Sydney Inner North,-33.818047 151.202450,"Merrenburn Avenue, Naremburn (off ramp path) (Bicycle and Pedestrian counter)",Merrenburn Avenue (off ramp path),First data collected 20 Sept 2012.,7,11,9,23,26,12,37,32,21,23,24,29,40,0,0,0,0,0,38,32,31,31,34,22,10,27,60,Y
5,100006,Metro Sydney Inner North,-33.818056 151.202340,"Merrenburn Avenue, Naremburn (freeway path) (Bicycle and Pedestrian counter)",Merrenburn Avenue (freeway path),First data collected 20 Sept 2012.,0,0,0,0,0,0,0,0,0,0,252,280,500,0,0,0,0,0,358,372,328,314,317,262,125,222,400,Y
6,100008,Metro Sydney Inner North,-33.829159 151.215186,"Falcon St Shared Path , Cammeray (Cycleway and Pedestrian counter)",Falcon St Pedestrian Bridge,First data collected 20 Sept 2012.,11,11,10,11,13,12,12,12,7,11,9,11,25,0,0,0,0,0,19,17,17,16,15,12,12,10,30,Y
7,100009,Metro Sydney Inner North,-33.833418 151.211398,"Ridge St Bridge, North Sydney (Bicycle and Pedestrian counter)",Ridge St Bridge,First data collected 20 Sept 2012.,924,8,7,1248,201,273,8,121,1,3,683,37,140,0,0,0,0,0,59,63,66,83,86,86,220,174,170,Y
8,90908,Metro Sydney Inner North,-33.817990 151.089939,"North Ryde to Sydney Olympic Park cycleway, near John Whitton Bridge, Meadowbank",North Ryde to Sydney Olympic Park,Counter inoperable June 2015 to Nov 2015.,379,376,377,418,411,401,450,396,319,361,329,331,500,204,204,238,277,247,358,417,423,452,284,551,431,433,500,Y
9,30011,Metro Sydney Inner West,-33.860980 151.164268,"Iron Cove Bridge cycleway, near King George Park, Rozelle (Ped and Cyc)",Iron Cove Bridge,Interruptions due to construction work 2010/11. Counter inoperable November 2013 to August 2015.,0,0,0,0,0,0,0,0,0,0,0,335,700,0,376,388,377,372,552,563,646,603,627,563,504,400,800,Y
10,100012,Metro Sydney Inner West,-33.857273 151.160607,"Old Iron Cove Bridge, Drummoyne (Cycleway and Pedestrian counter)",Old Iron Cove Bridge,First data collected 22 Sept 2012.,130,121,109,122,137,120,135,153,116,151,155,121,300,0,0,0,0,0,154,214,187,183,169,176,159,117,220,Y
